Start Station Name,Start Time (minutes),1 Market St - SMART,Church St / Alexander St,College Park- Gerrard Entrance,Elm St/ University Ave (East Side),King St E / Jarvis St,Toronto Eaton Centre (Yonge St),Union Station,University Ave / Armoury St,Victoria St / Queen St E,Willcocks St / St. George St
Elm St/ University Ave (East Side),0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toronto Eaton Centre (Yonge St),0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
College Park- Gerrard Entrance,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.75,0.0
Church St / Alexander St,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
College Park- Gerrard Entrance,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0
Church St / Alexander St,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Victoria St / Queen St E,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Willcocks St / St. George St,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
College Park- Gerrard Entrance,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Union Station,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Church St / Alexander St,2.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0
Toronto Eaton Centre (Yonge St),3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Union Station,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
University Ave / Armoury St,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Union Station,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victoria St / Queen St E,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
University Ave / Armoury St,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victoria St / Queen St E,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
College Park- Gerrard Entrance,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Church St / Alexander St,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Church St / Alexander St,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Church St / Alexander St,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Union Station,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Church St / Alexander St,8.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Elm St/ University Ave (East Side),8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Elm St/ University Ave (East Side),9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Church St / Alexander St,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
King St E / Jarvis St,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Toronto Eaton Centre (Yonge St),11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Union Station,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Church St / Alexander St,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Victoria St / Queen St E,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Church St / Alexander St,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,0.09090909090909091,0.0
Willcocks St / St. George St,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Union Station,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
College Park- Gerrard Entrance,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Church St / Alexander St,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Toronto Eaton Centre (Yonge St),13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Union Station,13.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
College Park- Gerrard Entrance,13.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.5,0.0
Toronto Eaton Centre (Yonge St),14.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0
College Park- Gerrard Entrance,14.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.11764705882352941,0.0,0.7647058823529411,0.0
Church St / Alexander St,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Union Station,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victoria St / Queen St E,15.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
1 Market St - SMART,15.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
College Park- Gerrard Entrance,15.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0
Church St / Alexander St,15.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0
College Park- Gerrard Entrance,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Toronto Eaton Centre (Yonge St),16.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Church St / Alexander St,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
University Ave / Armoury St,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Victoria St / Queen St E,16.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0
1 Market St - SMART,16.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0
Union Station,16.0,0.0,0.0,0.16666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0
1 Market St - SMART,17.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0
Victoria St / Queen St E,17.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Union Station,17.0,0.0,0.0,0.1111111111111111,0.8333333333333334,0.05555555555555555,0.0,0.0,0.0,0.0,0.0
Church St / Alexander St,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
King St E / Jarvis St,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
College Park- Gerrard Entrance,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Church St / Alexander St,18.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0
1 Market St - SMART,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Union Station,18.0,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Church St / Alexander St,19.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.25
King St E / Jarvis St,19.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.5,0.0
Union Station,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
College Park- Gerrard Entrance,19.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
1 Market St - SMART,19.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.4,0.0
Church St / Alexander St,20.0,0.0,0.0,0.25,0.0,0.0,0.25,0.5,0.0,0.0,0.0
College Park- Gerrard Entrance,20.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
Willcocks St / St. George St,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Victoria St / Queen St E,20.0,0.0,0.25,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0
Union Station,20.0,0.25,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0
Toronto Eaton Centre (Yonge St),21.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Union Station,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
University Ave / Armoury St,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
College Park- Gerrard Entrance,21.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
Willcocks St / St. George St,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Victoria St / Queen St E,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Church St / Alexander St,21.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0
1 Market St - SMART,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victoria St / Queen St E,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 Market St - SMART,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
College Park- Gerrard Entrance,22.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
Church St / Alexander St,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Victoria St / Queen St E,23.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
Union Station,23.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
Church St / Alexander St,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
College Park- Gerrard Entrance,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Toronto Eaton Centre (Yonge St),24.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Union Station,24.0,0.0,0.0,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.2
Victoria St / Queen St E,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Elm St/ University Ave (East Side),24.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
King St E / Jarvis St,24.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
College Park- Gerrard Entrance,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
1 Market St - SMART,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Church St / Alexander St,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
University Ave / Armoury St,25.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0
Victoria St / Queen St E,25.0,0.0,0.125,0.375,0.125,0.125,0.125,0.0,0.0,0.0,0.125
Toronto Eaton Centre (Yonge St),25.0,0.14285714285714285,0.0,0.2857142857142857,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.2857142857142857,0.0
King St E / Jarvis St,25.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Union Station,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Elm St/ University Ave (East Side),25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
College Park- Gerrard Entrance,25.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.5,0.0
1 Market St - SMART,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Willcocks St / St. George St,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Church St / Alexander St,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Victoria St / Queen St E,26.0,0.0,0.42857142857142855,0.0,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0
King St E / Jarvis St,26.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
College Park- Gerrard Entrance,26.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0
Toronto Eaton Centre (Yonge St),26.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0
Willcocks St / St. George St,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Union Station,26.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
University Ave / Armoury St,26.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Elm St/ University Ave (East Side),26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 Market St - SMART,26.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0
1 Market St - SMART,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Elm St/ University Ave (East Side),27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Union Station,27.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Victoria St / Queen St E,27.0,0.0,0.2,0.2,0.0,0.4,0.0,0.2,0.0,0.0,0.0
College Park- Gerrard Entrance,27.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.2,0.0,0.0
Willcocks St / St. George St,27.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Church St / Alexander St,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
University Ave / Armoury St,27.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elm St/ University Ave (East Side),28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
Union Station,28.0,0.0,0.0,0.0,0.16666666666666666,0.6666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0
Willcocks St / St. George St,28.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
King St E / Jarvis St,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
College Park- Gerrard Entrance,28.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0
Victoria St / Queen St E,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Toronto Eaton Centre (Yonge St),28.0,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
1 Market St - SMART,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Church St / Alexander St,28.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0
University Ave / Armoury St,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Church St / Alexander St,29.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.5714285714285714,0.0
College Park- Gerrard Entrance,29.0,0.2,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.2
Toronto Eaton Centre (Yonge St),29.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Union Station,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1 Market St - SMART,29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Elm St/ University Ave (East Side),29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
